Totales Territoriales;Nacionalidad;Orden de nacimiento;Periodo;Total
Total Nacional;Española;Cuarto y más;2001;..
Total Nacional;Española;Cuarto y más;2000;..
Total Nacional;Española;Cuarto y más;1999;..
Total Nacional;Española;Cuarto y más;1998;..
Total Nacional;Española;Cuarto y más;1997;..
Total Nacional;Española;Cuarto y más;1996;..
Total Nacional;Española;Cuarto y más;1995;..
Total Nacional;Española;Cuarto y más;1994;..
Total Nacional;Española;Cuarto y más;1993;..
Total Nacional;Española;Cuarto y más;1992;..
Total Nacional;Española;Cuarto y más;1991;..
Total Nacional;Española;Cuarto y más;1990;..
Total Nacional;Española;Cuarto y más;1989;..
Total Nacional;Española;Cuarto y más;1988;..
Total Nacional;Española;Cuarto y más;1987;..
Total Nacional;Española;Cuarto y más;1986;..
Total Nacional;Española;Cuarto y más;1985;..
Total Nacional;Española;Cuarto y más;1984;..
Total Nacional;Española;Cuarto y más;1983;..
Total Nacional;Española;Cuarto y más;1982;..
Total Nacional;Española;Cuarto y más;1981;..
Total Nacional;Española;Cuarto y más;1980;..
Total Nacional;Española;Cuarto y más;1979;..
Total Nacional;Española;Cuarto y más;1978;..
Total Nacional;Española;Cuarto y más;1977;..
Total Nacional;Española;Cuarto y más;1976;..
Total Nacional;Española;Cuarto y más;1975;..
Total Nacional;Extranjera;Todos;2024;1,27
Total Nacional;Extranjera;Todos;2023;1,28
Total Nacional;Extranjera;Todos;2022;1,35
Total Nacional;Extranjera;Todos;2021;1,35
Total Nacional;Extranjera;Todos;2020;1,45
Total Nacional;Extranjera;Todos;2019;1,58
Total Nacional;Extranjera;Todos;2018;1,64
Total Nacional;Extranjera;Todos;2017;1,7
Total Nacional;Extranjera;Todos;2016;1,71
Total Nacional;Extranjera;Todos;2015;1,65
Total Nacional;Extranjera;Todos;2014;1,61
Total Nacional;Extranjera;Todos;2013;1,52
Total Nacional;Extranjera;Todos;2012;1,56
Total Nacional;Extranjera;Todos;2011;1,58
Total Nacional;Extranjera;Todos;2010;1,68
Total Nacional;Extranjera;Todos;2009;1,68
Total Nacional;Extranjera;Todos;2008;1,83
Total Nacional;Extranjera;Todos;2007;1,72
Total Nacional;Extranjera;Todos;2006;1,69
Total Nacional;Extranjera;Todos;2005;1,66
Total Nacional;Extranjera;Todos;2004;1,75
Total Nacional;Extranjera;Todos;2003;1,77
Total Nacional;Extranjera;Todos;2002;1,86
Total Nacional;Extranjera;Todos;2001;..
Total Nacional;Extranjera;Todos;2000;..
Total Nacional;Extranjera;Todos;1999;..
Total Nacional;Extranjera;Todos;1998;..
Total Nacional;Extranjera;Todos;1997;..
Total Nacional;Extranjera;Todos;1996;..
Total Nacional;Extranjera;Todos;1995;..
Total Nacional;Extranjera;Todos;1994;..
Total Nacional;Extranjera;Todos;1993;..
Total Nacional;Extranjera;Todos;1992;..
Total Nacional;Extranjera;Todos;1991;..
Total Nacional;Extranjera;Todos;1990;..
Total Nacional;Extranjera;Todos;1989;..
Total Nacional;Extranjera;Todos;1988;..
Total Nacional;Extranjera;Todos;1987;..
Total Nacional;Extranjera;Todos;1986;..
Total Nacional;Extranjera;Todos;1985;..
Total Nacional;Extranjera;Todos;1984;..
